Datetime,Home Team,Away Team
2024-09-15T19:00:00,Whalers,Red Wings
2024-09-15T20:00:00,Avalanche,Vegas
2024-09-15T21:00:00,Leafs,Blackhawks
2024-09-22T19:00:00,Red Wings,Vegas
2024-09-22T20:00:00,Whalers,Leafs
2024-09-22T21:00:00,Blackhawks,Avalanche
2024-09-27T19:00:00,Blackhawks,Whalers
2024-09-27T20:00:00,Leafs,Vegas
2024-09-27T21:00:00,Avalanche,Red Wings
2024-10-06T19:00:00,Avalanche,Leafs
2024-10-06T20:00:00,Blackhawks,Red Wings
2024-10-06T21:00:00,Whalers,Vegas
2024-10-20T19:00:00,Vegas,Blackhawks
2024-10-20T20:00:00,Avalanche,Whalers
2024-10-20T21:00:00,Leafs,Red Wings
2024-10-27T19:00:00,Red Wings,Whalers
2024-10-27T20:00:00,Leafs,Blackhawks
2024-10-27T21:00:00,Avalanche,Vegas
2024-11-03T19:00:00,Leafs,Vegas
2024-11-03T20:00:00,Red Wings,Avalanche
2024-11-03T21:00:00,Blackhawks,Whalers
2024-11-10T19:00:00,Avalanche,Red Wings
2024-11-10T20:00:00,Blackhawks,Whalers
2024-11-10T21:00:00,Vegas,Leafs
2024-11-17T19:00:00,Vegas,Whalers
2024-11-17T20:00:00,Avalanche,Leafs
2024-11-17T21:00:00,Red Wings,Blackhawks
2024-11-24T19:00:00,Red Wings,Leafs
2024-11-24T20:00:00,Vegas,Blackhawks
2024-11-24T21:00:00,Whalers,Avalanche
2024-12-01T19:00:00,Leafs,Blackhawks
2024-12-01T20:00:00,Whalers,Red Wings
2024-12-01T21:00:00,Avalanche,Vegas
2024-12-08T19:00:00,Blackhawks,Avalanche
2024-12-08T20:00:00,Leafs,Whalers
2024-12-08T21:00:00,Vegas,Red Wings
2024-12-15T19:00:00,Vegas,Leafs
2024-12-15T20:00:00,Avalanche,Red Wings
2024-12-15T21:00:00,Blackhawks,Whalers
2024-12-22T19:00:00,Avalanche,Blackhawks
2024-12-22T20:00:00,Red Wings,Vegas
2024-12-22T21:00:00,Whalers,Leafs
2024-12-29T19:00:00,Whalers,Avalanche
2024-12-29T20:00:00,Vegas,Blackhawks
2024-12-29T21:00:00,Leafs,Red Wings
2025-01-05T19:00:00,Leafs,Blackhawks
2025-01-05T20:00:00,Red Wings,Whalers
2025-01-05T21:00:00,Vegas,Avalanche
2025-01-12T19:00:00,Blackhawks,Avalanche
2025-01-12T20:00:00,Vegas,Red Wings
2025-01-12T21:00:00,Whalers,Leafs
2025-01-19T19:00:00,Avalanche,Red Wings
2025-01-19T20:00:00,Whalers,Blackhawks
2025-01-19T21:00:00,Leafs,Vegas
2025-01-26T19:00:00,Whalers,Vegas
2025-01-26T20:00:00,Avalanche,Leafs
2025-01-26T21:00:00,Red Wings,Blackhawks
2025-02-02T19:00:00,Leafs,Red Wings
2025-02-02T20:00:00,Blackhawks,Vegas
2025-02-02T21:00:00,Avalanche,Whalers
2025-02-16T19:00:00,Vegas,Whalers
2025-02-16T20:00:00,Leafs,Avalanche
2025-02-16T21:00:00,Blackhawks,Red Wings
