Datetime,Home Team,Away Team
2026-02-22T19:00:00,Leafs,Blackhawks
2026-02-22T20:00:00,Red Wings,Golden Knights
2026-02-22T21:00:00,Avalanche,Canucks
2026-03-01T19:00:00,Leafs,Canucks
2026-03-01T20:00:00,Red Wings,Avalanche
2026-03-01T21:00:00,Blackhawks,Golden Knights
2026-03-08T19:00:00,Golden Knights,Canucks
2026-03-08T20:00:00,Red Wings,Blackhawks
2026-03-08T21:00:00,Avalanche,Leafs
2026-03-15T19:00:00,Avalanche,Golden Knights
2026-03-15T20:00:00,Red Wings,Leafs
2026-03-15T21:00:00,Canucks,Blackhawks
2026-03-22T19:00:00,Avalanche,Blackhawks
2026-03-22T20:00:00,Red Wings,Canucks
2026-03-22T21:00:00,Leafs,Golden Knights
