Datetime,Home Team,Away Team
2025-10-26T19:00:00,Red Wings,Canucks
2025-10-26T20:00:00,Leafs,Blackhawks
2025-10-26T21:00:00,Avalanche,Golden Knights
2025-11-02T19:00:00,Leafs,Golden Knights
2025-11-02T20:00:00,Red Wings,Avalanche
2025-11-02T21:00:00,Blackhawks,Canucks
2025-11-09T19:00:00,Avalanche,Red Wings
2025-11-09T20:00:00,Blackhawks,Canucks
2025-11-09T21:00:00,Golden Knights,Leafs
2025-11-16T19:00:00,Golden Knights,Canucks
2025-11-16T20:00:00,Avalanche,Leafs
2025-11-16T21:00:00,Red Wings,Blackhawks
2025-11-23T19:00:00,Red Wings,Leafs
2025-11-23T20:00:00,Golden Knights,Blackhawks
2025-11-23T21:00:00,Canucks,Avalanche
2025-11-30T19:00:00,Leafs,Blackhawks
2025-11-30T20:00:00,Canucks,Red Wings
2025-11-30T21:00:00,Avalanche,Golden Knights
2025-12-14T19:00:00,Blackhawks,Avalanche
2025-12-14T20:00:00,Leafs,Canucks
2025-12-14T21:00:00,Golden Knights,Red Wings
2025-12-21T19:00:00,Golden Knights,Leafs
2025-12-21T20:00:00,Avalanche,Red Wings
2025-12-21T21:00:00,Blackhawks,Canucks
2025-12-28T19:00:00,Avalanche,Blackhawks
2025-12-28T20:00:00,Red Wings,Golden Knights
2025-12-28T21:00:00,Canucks,Leafs
