Datetime,Home Team,Away Team
2026-01-04T19:00:00,Canucks,Avalanche
2026-01-04T20:00:00,Golden Knights,Blackhawks
2026-01-04T21:00:00,Leafs,Red Wings
2026-01-11T19:00:00,Leafs,Blackhawks
2026-01-11T20:00:00,Red Wings,Canucks
2026-01-11T21:00:00,Golden Knights,Avalanche
2026-01-18T19:00:00,Blackhawks,Avalanche
2026-01-18T20:00:00,Golden Knights,Red Wings
2026-01-18T21:00:00,Canucks,Leafs
2026-01-25T19:00:00,Avalanche,Red Wings
2026-01-25T20:00:00,Canucks,Blackhawks
2026-01-25T21:00:00,Leafs,Golden Knights
2026-02-01T19:00:00,Canucks,Golden Knights
2026-02-01T20:00:00,Avalanche,Leafs
2026-02-01T21:00:00,Red Wings,Blackhawks
2026-02-15T19:00:00,Leafs,Red Wings
2026-02-15T20:00:00,Blackhawks,Golden Knights
2026-02-15T21:00:00,Avalanche,Canucks
