# ,Player,Team,G,A,PTS,PIM
34,ZACK SAMMUT,AVALANCHE,24,21,45,0
44,MARK GEDNEY,AVALANCHE,11,15,26,0
13,JACKSON LEE,AVALANCHE,18,8,26,2
17,ZACK STEC,AVALANCHE,14,9,23,6
9,MARK BALTAZAR,AVALANCHE,2,16,18,20
15,BRENDON LANDRY,AVALANCHE,8,7,15,0
37,RYAN LANO,AVALANCHE,4,7,11,2
55,TOM ARNOTT,AVALANCHE,3,7,10,2
4,DAWSON FASCIA,AVALANCHE,2,7,9,2
22,JUSTIN COLYER,AVALANCHE,3,6,9,6
57,GENE STEC,AVALANCHE,1,5,6,0
6,CONNER PARKES,AVALANCHE,1,4,5,2
8,FRANK FASCIA,AVALANCHE,0,3,3,4
29,BO LEE,AVALANCHE,0,2,2,0
91,IAIN FARQUHARSON,AVALANCHE,0,0,0,0
9,JARRET WOO SAM,BLACKHAWKS,24,16,40,0
15,BRIAN MATKOWSKY,BLACKHAWKS,10,5,15,4
12,ANTHONY DAVIS,BLACKHAWKS,7,6,13,0
44,CHAD SPRINGER,BLACKHAWKS,2,11,13,12
55,COLIN PARKES,BLACKHAWKS,10,2,12,8
37,BRUCE FROUDE,BLACKHAWKS,5,6,11,2
91,TREVOR BREIKREUZ,BLACKHAWKS,5,5,10,0
34,BRANDON BOUDREAU,BLACKHAWKS,4,6,10,2
63,JAKE COMPANION,BLACKHAWKS,4,6,10,0
17,MIKE BARKER,BLACKHAWKS,5,5,10,0
13,DARREN DAVIS,BLACKHAWKS,2,7,9,4
4,JONATHON SUTTON,BLACKHAWKS,1,7,8,0
6,MICHAEL SORENSON,BLACKHAWKS,1,4,5,2
57,TERRY BRAKE,BLACKHAWKS,1,4,5,6
29,JOSH GABRIELLE,BLACKHAWKS,0,1,1,0
34,JOSH FELIX,LEAFS,26,19,45,0
91,DEVIN SHANNON,LEAFS,8,15,23,4
9,ANTHONY IZZI,LEAFS,12,8,20,2
47,TYLER WALKER,LEAFS,7,11,18,0
6,JORDAN CRONKWRIGHT,LEAFS,10,5,15,4
8,SHAWN PRITCHETT,LEAFS,6,8,14,4
37,WILLIAM FELIX,LEAFS,4,9,13,2
63,JOSH ANDERSON,LEAFS,4,8,12,0
13,CHRIS LEE,LEAFS,2,8,10,2
17,KYLE MCGREGOR,LEAFS,3,6,9,4
4,ADAM GRAY,LEAFS,3,4,7,4
22,DAVID MANCUSO,LEAFS,2,4,6,0
15,MIKE O'DWYER,LEAFS,2,3,5,4
29,BRIAN NEIL,LEAFS,0,3,3,0
12,BRIAN FELIX,LEAFS,1,0,1,2
91,MATTHEW BRASSARD,RED WINGS,15,19,34,0
13,STEVE NEIL,RED WINGS,10,18,28,8
17,JOSHUA NEIL,RED WINGS,11,8,19,2
15,LIAM MONAHAN,RED WINGS,10,6,16,14
12,NUNZIO LEROSE,RED WINGS,8,6,14,8
4,PETER FROUDE,RED WINGS,8,4,12,14
37,MIKE SALIJ,RED WINGS,1,5,6,0
6,TYLER WATSON,RED WINGS,2,4,6,0
57,TREVOR GIBBONS,RED WINGS,2,4,6,0
34,JEFF HALES,RED WINGS,1,4,5,8
9,JUSTIN WILLIAMS,RED WINGS,2,2,4,6
22,ALEX CORNES,RED WINGS,1,2,3,0
8,KYLE KOKOT,RED WINGS,2,1,3,0
44,JASON ROBERSON,RED WINGS,0,2,2,2
29,MIKE WEISS,RED WINGS,0,0,0,0
9,TYLER COLLINS,VEGAS,25,21,46,4
91,KEEGAN MURPHY,VEGAS,21,9,30,4
47,VICTOR PATORA,VEGAS,15,13,28,4
6,AARON CALHOUN,VEGAS,9,11,20,8
22,PAUL COLLINS,VEGAS,3,16,19,4
37,DANNY RYAN,VEGAS,8,10,18,0
15,MATT ANDERSON,VEGAS,5,12,17,2
55,MARK BLANCHARD,VEGAS,9,6,15,4
13,RAY BUCAN,VEGAS,2,11,13,8
8,JACOB ARSENAULT,VEGAS,7,5,12,2
44,SEAN GEDNEY,VEGAS,2,5,7,0
4,KEVIN HUGHES,VEGAS,0,6,6,2
63,NORM GOTTWALD,VEGAS,1,4,5,17
57,KEVIN THOMPSON,VEGAS,0,5,5,10
29,CHRIS GEDNEY,VEGAS,0,0,0,2
8,TRISTAN NISBLE,WHALERS,25,15,40,2
63,ALEX KLIMSIAK,WHALERS,7,31,38,6
13,ADIEN MURPHY,WHALERS,23,10,33,10
15,DAN YOUNG,WHALERS,6,13,19,12
22,VICTOR GEBORSKI,WHALERS,10,7,17,0
37,JOHNATHAN YARKONY,WHALERS,5,7,12,0
55,EUGENE GIBSON,WHALERS,4,8,12,0
57,CHRIS SUTTON,WHALERS,2,7,9,2
17,SHANE NISBLE,WHALERS,6,2,8,0
91,ANDREW MACKAY,WHALERS,5,3,8,0
47,JARVIS MASON,WHALERS,3,4,7,6
63,CRAIG MCCANN,WHALERS,1,4,5,6
9,CRAIG THOMPSON,WHALERS,2,3,5,0
4,TODD ELSON,WHALERS,0,1,1,4
29,AL THOMPSON,WHALERS,0,1,1,2
